Vardas                   Pavarde                  ND1            ND2            ND3            ND4            ND5            Egz.
Vardenis121              Pavardenis121            9              3              1              6              6              10
Vardenis122              Pavardenis122            4              3              9              8              5              9
Vardenis123              Pavardenis123            2              5              4              6              6              3
Vardenis124              Pavardenis124            7              9              10             3              10             6
Vardenis125              Pavardenis125            10             5              6              1              6              9
Vardenis126              Pavardenis126            9              1              2              4              3              3
Vardenis127              Pavardenis127            3              8              1              4              2              4
Vardenis128              Pavardenis128            4              8              1              10             6              6
Vardenis129              Pavardenis129            9              4              8              9              4              8
Vardenis130              Pavardenis130            10             4              10             2              9              3
Vardenis131              Pavardenis131            9              1              2              9              5              9
Vardenis132              Pavardenis132            7              1              10             4              1              1
Vardenis133              Pavardenis133            9              8              7              4              6              7
Vardenis134              Pavardenis134            6              9              4              10             5              9
Vardenis135              Pavardenis135            4              10             8              7              5              6
Vardenis136              Pavardenis136            9              7              2              6              6              2
Vardenis137              Pavardenis137            10             7              5              6              5              3
Vardenis138              Pavardenis138            6              4              3              7              9              3
Vardenis139              Pavardenis139            7              7              4              10             5              6
Vardenis140              Pavardenis140            7              3              6              4              6              7
Vardenis141              Pavardenis141            7              2              5              5              7              3
Vardenis142              Pavardenis142            7              9              3              6              6              2
Vardenis143              Pavardenis143            1              2              6              2              8              7
Vardenis144              Pavardenis144            1              1              3              5              4              4
Vardenis145              Pavardenis145            7              3              9              3              4              5
Vardenis146              Pavardenis146            4              5              4              7              9              5
Vardenis147              Pavardenis147            8              4              10             9              1              1
Vardenis148              Pavardenis148            9              9              1              6              2              5
Vardenis149              Pavardenis149            4              7              4              10             3              2
Vardenis150              Pavardenis150            10             9              3              4              5              1
Vardenis151              Pavardenis151            3              4              2              10             9              10
Vardenis152              Pavardenis152            9              10             2              4              6              2
Vardenis153              Pavardenis153            5              3              6              4              9              10
Vardenis154              Pavardenis154            3              9              8              1              2              5
Vardenis155              Pavardenis155            9              2              10             4              6              10
Vardenis156              Pavardenis156            8              10             9              1              2              5
Vardenis157              Pavardenis157            8              6              6              6              1              10
Vardenis158              Pavardenis158            3              9              3              5              6              1
Vardenis159              Pavardenis159            5              5              1              6              2              2
Vardenis160              Pavardenis160            6              10             1              9              4              9
Vardenis161              Pavardenis161            8              3              7              10             4              9
Vardenis162              Pavardenis162            2              1              4              4              9              5
Vardenis163              Pavardenis163            9              1              2              6              5              2
Vardenis164              Pavardenis164            4              8              4              6              9              6
Vardenis165              Pavardenis165            7              10             1              9              10             4
Vardenis166              Pavardenis166            7              1              7              10             8              9
Vardenis167              Pavardenis167            10             5              2              6              7              7
Vardenis168              Pavardenis168            7              7              7              8              2              5
Vardenis169              Pavardenis169            1              7              2              3              2              5
Vardenis170              Pavardenis170            10             6              3              4              5              2
Vardenis171              Pavardenis171            6              3              4              2              7              9
Vardenis172              Pavardenis172            9              3              8              8              2              3
Vardenis173              Pavardenis173            7              1              5              10             5              7
Vardenis174              Pavardenis174            1              4              7              3              5              6
Vardenis175              Pavardenis175            9              9              2              3              2              5
Vardenis176              Pavardenis176            10             9              3              5              6              3
Vardenis177              Pavardenis177            10             10             9              4              9              7
Vardenis178              Pavardenis178            10             9              7              7              3              4
Vardenis179              Pavardenis179            9              3              7              3              8              6
Vardenis180              Pavardenis180            8              9              3              8              9              1
Vardenis181              Pavardenis181            3              1              9              10             3              9
Vardenis182              Pavardenis182            3              1              6              6              3              8
Vardenis183              Pavardenis183            7              8              9              8              9              2
Vardenis184              Pavardenis184            7              1              10             6              9              10
Vardenis185              Pavardenis185            1              1              1              8              3              6
Vardenis186              Pavardenis186            6              3              2              5              9              7
Vardenis187              Pavardenis187            5              7              9              10             9              4
Vardenis188              Pavardenis188            6              6              2              6              6              9
Vardenis189              Pavardenis189            5              1              6              5              8              3
Vardenis190              Pavardenis190            2              5              10             10             1              4
Vardenis191              Pavardenis191            1              4              6              1              8              7
Vardenis192              Pavardenis192            8              9              4              7              5              5
Vardenis193              Pavardenis193            2              10             6              6              8              5
Vardenis194              Pavardenis194            8              4              5              1              9              9
Vardenis195              Pavardenis195            2              6              3              4              3              5
Vardenis196              Pavardenis196            7              7              7              3              10             1
Vardenis197              Pavardenis197            5              10             4              2              2              10
Vardenis198              Pavardenis198            10             6              6              6              7              1
Vardenis199              Pavardenis199            6              10             5              7              4              5
Vardenis200              Pavardenis200            10             1              6              4              10             2
Vardenis201              Pavardenis201            3              9              9              2              9              7
Vardenis202              Pavardenis202            1              3              5              10             1              3
Vardenis203              Pavardenis203            3              2              6              5              5              5
Vardenis204              Pavardenis204            3              6              1              5              3              2
Vardenis205              Pavardenis205            3              8              8              10             6              6
Vardenis206              Pavardenis206            5              1              4              5              2              3
Vardenis207              Pavardenis207            3              10             9              3              3              8
Vardenis208              Pavardenis208            9              6              9              4              10             5
Vardenis209              Pavardenis209            5              7              10             9              6              7
Vardenis210              Pavardenis210            7              1              8              3              8              3
Vardenis211              Pavardenis211            7              5              8              2              4              3
Vardenis212              Pavardenis212            2              7              4              9              4              3
Vardenis213              Pavardenis213            9              7              1              2              3              7
Vardenis214              Pavardenis214            1              6              5              7              8              10
Vardenis215              Pavardenis215            4              5              8              9              9              2
Vardenis216              Pavardenis216            7              4              9              8              7              2
Vardenis217              Pavardenis217            8              3              4              8              9              6
Vardenis218              Pavardenis218            9              6              9              8              4              4
Vardenis219              Pavardenis219            2              1              9              2              1              10
Vardenis220              Pavardenis220            3              5              10             2              6              8
Vardenis221              Pavardenis221            4              4              5              3              3              1
Vardenis222              Pavardenis222            2              3              8              8              1              3
Vardenis223              Pavardenis223            5              2              1              4              8              4
Vardenis224              Pavardenis224            10             6              10             8              3              1
Vardenis225              Pavardenis225            3              9              7              8              1              9
Vardenis226              Pavardenis226            2              9              4              1              4              7
Vardenis227              Pavardenis227            3              1              3              9              5              2
Vardenis228              Pavardenis228            9              4              8              6              9              2
Vardenis229              Pavardenis229            8              1              5              9              9              2
Vardenis230              Pavardenis230            4              7              8              9              10             6
Vardenis231              Pavardenis231            6              6              7              7              4              1
Vardenis232              Pavardenis232            1              9              9              3              4              1
Vardenis233              Pavardenis233            7              6              1              10             8              3
Vardenis234              Pavardenis234            3              9              3              10             5              5
Vardenis235              Pavardenis235            9              3              8              3              6              9
Vardenis236              Pavardenis236            5              8              4              10             6              2
Vardenis237              Pavardenis237            10             1              3              9              4              2
Vardenis238              Pavardenis238            5              4              2              1              5              1
Vardenis239              Pavardenis239            8              10             1              9              2              5
Vardenis240              Pavardenis240            1              8              10             6              4              9
Vardenis241              Pavardenis241            3              4              3              2              1              5
Vardenis242              Pavardenis242            1              8              6              10             1              6
Vardenis243              Pavardenis243            2              3              1              10             9              10
Vardenis244              Pavardenis244            2              8              4              4              1              8
Vardenis245              Pavardenis245            7              7              1              3              9              10
Vardenis246              Pavardenis246            9              10             10             10             5              3
Vardenis247              Pavardenis247            1              9              8              9              8              4
Vardenis248              Pavardenis248            1              8              7              5              3              2
Vardenis249              Pavardenis249            10             2              7              1              4              4
Vardenis250              Pavardenis250            7              3              3              2              5              4
Vardenis251              Pavardenis251            3              7              1              6              5              10
Vardenis252              Pavardenis252            7              1              9              3              8              5
Vardenis253              Pavardenis253            1              8              7              1              2              3
Vardenis254              Pavardenis254            10             4              9              6              2              6
Vardenis255              Pavardenis255            7              7              9              9              10             9
Vardenis256              Pavardenis256            8              1              8              10             2              6
Vardenis257              Pavardenis257            9              7              4              10             5              6
Vardenis258              Pavardenis258            4              9              3              4              10             5
Vardenis259              Pavardenis259            9              6              2              4              3              9
Vardenis260              Pavardenis260            2              7              5              7              8              8
Vardenis261              Pavardenis261            10             7              5              2              10             3
Vardenis262              Pavardenis262            7              4              2              6              10             8
Vardenis263              Pavardenis263            1              3              7              2              8              7
Vardenis264              Pavardenis264            3              6              4              5              1              8
Vardenis265              Pavardenis265            6              6              4              2              9              9
Vardenis266              Pavardenis266            9              1              2              8              6              1
Vardenis267              Pavardenis267            6              10             1              10             4              6
Vardenis268              Pavardenis268            5              3              8              3              7              8
Vardenis269              Pavardenis269            3              3              1              2              2              8
Vardenis270              Pavardenis270            6              10             2              9              2              8
Vardenis271              Pavardenis271            9              7              7              10             10             3
Vardenis272              Pavardenis272            7              7              6              9              5              1
Vardenis273              Pavardenis273            4              8              9              4              2              2
Vardenis274              Pavardenis274            3              6              8              7              3              2
Vardenis275              Pavardenis275            7              2              2              6              8              5
Vardenis276              Pavardenis276            9              6              7              5              10             9
Vardenis277              Pavardenis277            5              4              3              6              4              9
Vardenis278              Pavardenis278            4              3              8              1              7              9
Vardenis279              Pavardenis279            1              2              2              10             6              4
Vardenis280              Pavardenis280            7              4              2              6              4              5
Vardenis281              Pavardenis281            1              4              2              8              10             1
Vardenis282              Pavardenis282            4              6              3              10             2              3
Vardenis283              Pavardenis283            7              2              8              1              2              6
Vardenis284              Pavardenis284            3              3              10             1              6              2
Vardenis285              Pavardenis285            9              4              7              9              9              7
Vardenis286              Pavardenis286            2              7              7              8              1              5
Vardenis287              Pavardenis287            10             9              10             5              10             9
Vardenis288              Pavardenis288            8              6              7              5              9              7
Vardenis289              Pavardenis289            9              8              9              1              10             6
Vardenis290              Pavardenis290            7              10             1              1              2              4
Vardenis291              Pavardenis291            6              6              9              1              2              8
Vardenis292              Pavardenis292            8              5              7              8              1              8
Vardenis293              Pavardenis293            5              2              3              2              9              4
Vardenis294              Pavardenis294            6              8              2              5              8              7
Vardenis295              Pavardenis295            9              3              4              1              3              8
Vardenis296              Pavardenis296            9              9              6              10             8              2
Vardenis297              Pavardenis297            4              5              8              2              4              8
Vardenis298              Pavardenis298            2              3              8              6              4              5
Vardenis299              Pavardenis299            5              6              6              2              5              2
Vardenis300              Pavardenis300            3              7              7              4              4              1
Vardenis301              Pavardenis301            1              9              2              4              9              2
Vardenis302              Pavardenis302            7              10             9              1              2              4
Vardenis303              Pavardenis303            10             4              10             4              7              6
Vardenis304              Pavardenis304            6              5              1              6              1              7
Vardenis305              Pavardenis305            6              6              2              9              10             7
Vardenis306              Pavardenis306            3              3              6              1              6              3
Vardenis307              Pavardenis307            6              3              1              7              8              3
Vardenis308              Pavardenis308            9              1              1              7              9              4
Vardenis309              Pavardenis309            1              7              5              4              8              1
Vardenis310              Pavardenis310            6              3              1              8              6              7
Vardenis311              Pavardenis311            2              9              2              9              6              7
Vardenis312              Pavardenis312            6              10             3              7              6              3
Vardenis313              Pavardenis313            4              3              2              3              3              9
Vardenis314              Pavardenis314            9              9              8              5              1              1
Vardenis315              Pavardenis315            6              10             10             6              4              1
Vardenis316              Pavardenis316            10             10             6              2              2              2
Vardenis317              Pavardenis317            3              4              4              10             8              3
Vardenis318              Pavardenis318            4              4              1              5              9              5
Vardenis319              Pavardenis319            4              10             3              5              10             1
Vardenis320              Pavardenis320            6              8              5              8              7              7
Vardenis321              Pavardenis321            4              1              10             1              9              1
Vardenis322              Pavardenis322            2              6              2              1              4              10
Vardenis323              Pavardenis323            6              9              10             7              3              6
Vardenis324              Pavardenis324            8              7              4              9              6              10
Vardenis325              Pavardenis325            4              1              3              6              2              6
Vardenis326              Pavardenis326            8              8              10             5              2              8
Vardenis327              Pavardenis327            9              6              8              9              9              5
Vardenis328              Pavardenis328            3              4              9              5              2              4
Vardenis329              Pavardenis329            1              5              2              8              8              3
Vardenis330              Pavardenis330            2              4              2              4              2              6
Vardenis331              Pavardenis331            2              6              1              6              2              3
Vardenis332              Pavardenis332            3              2              6              6              4              9
Vardenis333              Pavardenis333            10             3              9              5              3              8
Vardenis334              Pavardenis334            6              9              5              1              10             5
Vardenis335              Pavardenis335            5              4              6              9              5              2
Vardenis336              Pavardenis336            1              4              4              5              1              7
Vardenis337              Pavardenis337            8              6              6              7              1              10
Vardenis338              Pavardenis338            9              4              6              8              10             1
Vardenis339              Pavardenis339            5              9              8              5              1              3
Vardenis340              Pavardenis340            4              6              5              2              7              7
Vardenis341              Pavardenis341            5              6              3              10             2              3
Vardenis342              Pavardenis342            5              10             10             4              8              7
Vardenis343              Pavardenis343            6              9              8              9              10             8
Vardenis344              Pavardenis344            8              2              7              6              1              2
Vardenis345              Pavardenis345            4              3              7              1              6              8
Vardenis346              Pavardenis346            5              5              10             1              7              2
Vardenis347              Pavardenis347            2              10             1              5              3              2
Vardenis348              Pavardenis348            10             8              1              10             4              4
Vardenis349              Pavardenis349            4              2              4              6              7              10
Vardenis350              Pavardenis350            6              10             9              9              4              10
Vardenis351              Pavardenis351            6              2              4              7              3              9
Vardenis352              Pavardenis352            9              2              10             9              2              4
Vardenis353              Pavardenis353            4              5              4              10             3              8
